Staphylococcus aureus
Escherichia coli
Klebsiella pneumoniae
Streptococcus pyogenes
Streptococcus pneumoniae
Streptococcus agalactiae
Pseudomonas aeruginosa
Neisseria gonorrhoeae
Neisseria meningitidis
Helicobacter pylori
Mycobacterium tuberculosis
Mycobacterium leprae
Clostridioides difficile
Clostridium perfringens
Clostridium tetani
Clostridium botulinum
Haemophilus influenzae
Listeria monocytogenes
Bacillus anthracis
Salmonella enterica
Shigella spp.
Campylobacter jejuni
Vibrio cholerae
Vibrio vulnificus
Vibrio parahaemolyticus
Yersinia pestis
Yersinia enterocolitica
Bordetella pertussis
Borrelia burgdorferi
Treponema pallidum
Chlamydia trachomatis
Chlamydia pneumoniae
Rickettsia rickettsii
Coxiella burnetii
Legionella pneumophila
Brucella spp.
Francisella tularensis
Leptospira interrogans
Mycoplasma pneumoniae
Ureaplasma urealyticum
Propionibacterium acnes
Bacteroides fragilis
Enterococcus faecalis
Enterococcus faecium
Proteus mirabilis
Stenotrophomonas maltophilia
Acinetobacter baumannii
Bifidobacterium longum
Burkholderia cepacia
Burkholderia pseudomallei
